Key,Type,Desc,English,Turkish,German,French,Italian,Spanish,Portuguese,Japanese,Korean
get_your_reward,Text,,"Get Your Reward Every Day!","Her Gün Ödülünü Al!","Hol dir jeden Tag deine Belohnung ab!","Recevez vos récompenses tous les jours !","Ritira una ricompensa ogni giorno!","¡Gana una recompensa a diario!","Ganhe uma recompensa a cada dia!","報酬を毎日受け<br>取りましょう！","아이템 3개를<br>매치하세요!"
daily_reward_prompt,Text,,"Every Day!","Her Gün!","Jeden Tag!","Tous les jours !","Ogni giorno!","¡A diario!","Todo dia!","毎日！","매일이요!"
quit_game_option,Text,,"Quit Game","Oyundan Çık","Spiel beenden","Quitter le jeu","Esci dal gioco","Salir del juego","Sair do jogo","ゲームを終了","게임 종료"
no_lives_inbox_short,Text,,"No lives in your inbox.","Gelen kutunda can yok.","Kein Leben in deinem Posteingang.","Aucune vie dans votre boîte de réception.","Non ci sono vite nella tua posta.","Sin vidas en el buzón.","Sem vidas na caixa de entrada.","受信箱にライフはありません。","받은 편지함에 생명이 없습니다."
ask_lives_from_friends,Text,,"Ask lives from your teammates!","Takım arkadaşlarından can iste!","Bitte deine Teamkollegen um ein Leben!","Demandez des vies à vos coéquipiers !","Chiedi vite ai tuoi compagni di squadra!","¡Pide vidas a tus compañeros de equipo!","Peça vidas aos seus colegas de equipe!","チームメイトにライフを求めよう！"," 팀원에게 생명을 요청하세요!"
level_failed_message,Text,,"Level Failed","Seviye Geçilemedi","Level nicht geschafft","Niveau perdu","Livello fallito","Nivel fallido","Nível  Perdido","レベル失敗","레벨 실패"
account_deletion_warning,Text,,"If you delete your account you will lose all your game progress, coins, boosters and purchases!","Hesabını silersen tüm oyun ilerlemeni, altınlarını, takviyelerini ve satın alımlarını kaybedeceksin!","Wenn du dein Konto löschst, verlierst du alle deine Spielfortschritte, Münzen, Booster und Einkäufe!","Si vous supprimez votre compte, vous perdrez votre progression dans le jeu, vos pièces, vos boosters et vos achats.","Se cancelli il tuo account, perderai tutti i progressi di gioco, le monete, i potenziamenti e gli acquisti!","Si eliminas tu cuenta, perderás todo el progreso, las monedas, los potenciadores y las compras.","Se você apagar sua conta, perderá todo o progresso no jogo, além das moedas, reforços e compras!","アカウントを削除した場合、ゲームの進行、コイン、ブースターおよび購入品を全て失います！","계정을 삭제하면 모든 진행상황, 코인, 부스터 및 구매 내역이 사라집니다!"
continue,Text,,"Continue","Devam Et","Fortfahren","Continuer","Continua","Continuar","Continuar","続ける","계속"
apple_signin_failed,Text,,"Apple sign in <color=red>failed!</color>","Apple ile giriş <color=red>başarısız!</color>","Apple-Anmeldung <color=red>fehlgeschlagen!</color>","La connexion avec Apple a <color=red>échoué !</color>","Accesso con Apple <color=red>non riuscito</color>!","<color=red>Error</color> al iniciar sesión con Apple","<color=red>Falha</color> ao iniciar sessão com a Apple!","Appleでのサインインに<color=red>失敗</color>しました！","Apple 로그인 <color=red>실패!</color>"
started,Text,,"Started","Başladı","Gestartet","Commencé","Iniziata","Se ha iniciado","Iniciou","開始済み","시작됨"
tap_to_continue,Text,,"Tap to Continue","Devam etmek için dokun","Zum Fortfahren tippen","Appuyez pour continuer","Tocca per continuare","Toca para continuar","Toque para continuar","タップで続ける","탭하여 계속하기"
get_free_lives,Text,,"Get free lives","Ücretsiz can al","Erhalte Gratisleben","Recevoir des vies gratuites","Ottieni vite gratis","Vidas gratis","Ganhe vidas","無料のライフを獲得","무료 생명 받기"
team_score,Text,,"Team Score:","Takım Skoru:","Teampunktestand:","Score d'équipe :","Punteggio di squadra:","Puntos de equipo:","Pontuação da equipe:","チームスコア：","팀 점수:"
no_connection_alert,Text,,"No Connection!","Bağlantı Yok!","Keine Verbindung!","Aucune connexion !","Nessuna connessione!","¡Sin conexión!","Sem conexão!","接続がありません！","연결되지 않았습니다!"
you_failed_message,Text,,"You Failed!","Başarısız Oldun!","Du hast versagt!","Vous avez échoué !","Hai perso!","¡Has fallado!","Não conseguiu!","失敗しました！","실패했습니다!"
stage,Text,,"Stage","Aşama","Stufe","Étape","Fase","Fase","Etapa","ステージ","스테이지"
win_more_stars_prompt,Text,,"Win more stars to open!","Açmak için daha çok yıldız kazan!","Zum Öffnen musst du mehr Sterne gewinnen!","Gagnez plus d'étoiles pour l'ouvrir !","Vinci altre stelle per aprirlo!","¡Ábrelo con más estrellas!","Ganhe mais estrelas para abrir!","もっと星を手に入れて<br>開きましょう！","열려면 더 많은 별을 획득하세요!"
welcome_back_message,Text,,"Welcome Back!","Tekrar Hoş Geldin!","Willkommen Zurück!","Heureux vous revoir !","Bentornato!","¡Bienvenido(a) de Nuevo!","Bem-vindo de Volta!","お帰りなさい！","다시 오신 것을 환영합니다!"
like,Text,,"Like","Beğen","Gefällt mir","J'aime","Mi piace","Me gusta","Curtir","いいね","좋아요"
required_label,Text,,"Required","Gerekli","Erfordert","Nécessaire","Richiesto","Requisito","Necessário","必要","필수"
out_of_lives_warning,Text,,"Out of Lives!","Canın Kalmadı!","Keine Leben mehr!","Pas de vie !","Vite esaurite!","¡Sin vidas!","Sem vidas!","ライフが<br>ありません！","생명이 없어요!"
join_prompt,Text,,"Join","Katıl","Teilnehmen","Rejoindre","Unisciti","Unirse","Entrar","参加","가입"
create_or_join_team,Text,,"Create or Join a TEAM to:","Bir TAKIM kur veya Katıl:","Erstelle ein TEAM oder tritt einem bei, und:","Créer/Rejoindre une équipe pour :","Crea o unisciti a una SQUADRA e...","Crea o únete a un equipo y tendrás:","Crie ou entre em uma EQUIPE e:","チームに参加または作成で：","팀 생성 또는 가입 시 혜택:"
grand_prize_label,Text,,"Grand Prize","Büyük Ödül","Hauptpreis","Grand Prix","Primo Premio","Gran Premio","Grande Prêmio","大賞","최고 보상"
play,Text,,"Play","Oyna","Spielen","Jouer","Gioca","Jugar","Jogar","プレイ","게임하기"
settings,Text,,"Settings","Ayarlar","Einstellungen","Paramètres","Impostazioni","Ajustes","Configurações","設定","설정"
ask_lives_short,Text,,"Ask Lives","Can İste","Bitte um Leben","Demander<br>des vies","Chiedi vite","Pedir vidas","Pedir vidas","ライフを<br>リクエスト","생명 요청"
extra_life_option,Text,,"Extra Life","Ekstra Can","Extraleben","Vie supplémentaire","Vita extra","Vida extra","Vida extra","追加ライフ","추가 생명"
use,Text,,"Use","Kullan","Benutzen","Utiliser","Usa","Usar","Usar","使う","사용"
save,Text,,"Save","Kaydet","Speichern","Sauvegarder","Salva","Guardar","Salvar","保存","저장"
delete_confirmation_prompt,Text,,"If you want to delete your account, type "DELETE" into the field below.","Hesabını silmek istiyorsan aşağıdaki alana "SİL" yaz.","Wenn du dein Konto löschen möchtest, gib „LÖSCHEN“ in das Feld unten ein.","Si vous souhaitez supprimer votre compte, tapez « SUPPRIMER » dans le champ ci-dessous.","Se vuoi cancellare il tuo account, digita "CANCELLA" nel campo sottostante.","Si quieres eliminar tu cuenta, escribe "ELIMINAR" en el campo de abajo.","Para apagar sua conta, digite "APAGAR" no campo abaixo.","アカウントを削除したい場合、以下のフィールドに「削除」と入力してください。","계정을 삭제하고 싶다면 아래 입력란에 "삭제하기"를 입력하세요."
stay,Text,,"Stay","Kal","Bleiben","Rester","Resta","Quedarse","Continuar","留まる","머무르기"
reward,Text,,"Reward","Ödül","Belohnung","Récompense","Ricompensa","Recompensa","Recompensa","報酬","보상"
congratulations_message,Text,,"You made it, congratulations!","Başardın, tebrikler!","Du hast es geschafft, herzlichen Glückwunsch!","Félicitations, vous avez réussi !","Complimenti, ce l'hai fatta!","¡Enhorabuena, lo has logrado!","Você conseguiu! Parabéns!","やりましたね。おめでとうございます！","해냈어요, 축하해요!"
free_lives_offer,Text,,"Free Lives","Ücretsiz Canlar","Gratis-Leben","Vies gratuites","Vite gratis","Vidas gratis","Vidas grátis","無料のライフ","무료 생명"
warning,Text,,"Warning!","Dikkat!","Warnung!","Attention !","Attenzione!","¡Aviso!","Atenção!","注意！","경고!"
warning_account_deletion,Text,,"Your account deletion<br>is in progress.","Hesap silme işlemi<br>devam ediyor.","Die Löschung deines<br>Kontos ist im Gange.","La suppression de votre compte<br>est en cours.","La cancellazione del<br>tuo account è in corso.","Eliminación de cuenta<br>en curso.","A exclusão da sua conta<br>está em andamento.","アカウントの削除が<br>進行中です。","귀하의 계정을<br>삭제 중입니다."
signout_google_prompt,Text,,"Sign out from Google","Google'dan çıkış yap","Bei Google abmelden","Se déconnecter de Google","Esci da Google","Cerrar sesión en Google","Sair do Google","Googleからサインアウト","Google에서 로그아웃"
first_place_congratulations,Text,,"You finished first!","İlk sen bitirdin!","Du bist Erste geworden!","Vous avez terminé en premier !","Hai finito prima di tutti!","¡Primer lugar!","Você terminou primeiro!","最初に終えました！","첫 번째로 완료했습니다!"
win_more_levels_prompt,Text,,"Win more levels to open!","Açmak için daha çok seviye kazan!","Zum Öffnen musst du mehr Level gewinnen!","Gagnez plus de niveaux pour l'ouvrir !","Supera altri livelli per aprirlo!","¡Ábrelo superando más niveles!","Complete mais níveis para abrir!","もっとレベルで勝利して<br>開きましょう！","열려면 더 많은 레벨을 공략하세요!"
signin_facebook_prompt,Text,,"Sign in with Facebook","Facebook ile giriş yap","Mit Facebook anmelden","Se connecter avec Facebook","Accedi con Facebook","Iniciar sesión con Facebook","Entrar com o Facebook","Facebookでサインイン","Facebook으로 로그인"
first_place_label,Text,,"1st Place","Birincilik","1. Platz","1re place","1º posto","1.ª posición","1º lugar","1位","1위"
unlock_level_19,Text,,"Unlock Level 19","19. Seviyenin kilidini aç","Level 19 freischalten","Débloquer le niveau 19","Sblocca il livello 19","Desbloqueo en nivel 19","Desbloqueie no nível 19","レベル19でアンロック","레벨 19에 잠금 해제"
helps,Text,,"Helps","Yardım","Hilfe","Aide","Aiuti","Ayudas","Ajudas","ヘルプ","도움말"
enter_nickname_prompt,Text,,"Enter your nickname:","Kullanıcı adını gir:","Gib deinen Spitznamen ein:","Saisissez votre pseudo :","Immetti il tuo nickname:","Escribe tu nombre:","Digite seu apelido:","ニックネームを入力：","닉네임 입력:"
cancel_and_play_option,Text,,"Cancel & Play","İptal Et ve Oyna","Abbrechen & spielen","Annuler et jouer","Annulla e gioca","Cancelar y jugar","Cancelar e jogar","キャンセルしてプレイ","취소 및 게임하기"
beat_levels_faster_prompt,Text,,"Beat levels faster<br>than others","Seviyeleri herkesten<br>daha hızlı bitir","Schließe Level schneller<br>ab als andere!","Terminez les niveaux<br>plus rapidement que les autres !","Supera i livelli più<br>velocemente degli altri","¡Supera niveles antes<br>que los demás!","Complete níveis em menos tempo<br>que os outros","他の人より先に<br>レベルをクリアする","다른 플레이어보다 빨리<br>레벨을 공략하세요"
unlock_level_25_notice,Text,,"Unlock <br> Level 25","25. Seviyenin <br> kilidini aç","Level 25 <br> freischalten","Débloquer <br>le niveau 25","Sblocca il<br>livello 25","Desbloqueo en<br>nivel 25","Desbloqueie<br>no nível 25","レベル25で<br>アンロック","레벨 25 <br> 잠금 해제"
checkpoint_reset_warning,Text,,"Your checkpoint<br>progress will be reset","Kontrol noktası<br>ilerlemen sıfırlanacak","Dein Checkpoint-Fortschritt<br>wird zurückgesetzt","La progression de<br>votre point de sauvegarde sera réinitialisée","I tuoi progressi nei traguardi<br>saranno azzerati","¡Se restablecerá<br>el punto de control!","Seu progresso nos pontos de controle<br>será zerado","チェックポイントの<br>進行がリセットされます","체크포인트 진행 상황이<br>리셋됩니다"
quit_level,Text,,"Quit Level","Seviyeden Çık","Level abbrechen","Abandonner","Esci dal livello","Salir de nivel","Sair do nível","レベルを終了","레벨 종료"
clear_bar,Text,,"Clear Bar","Rafı Boşalt","Leiste freiräumen","Vider la barre","Svuota la piattaforma","Despejar bandeja","Limpar barra","バーをクリア","바 비우기"
life_refill_abnormality_detection,Text,,"Our system has detected something abnormal in your life refill mechanism.<br><br>Your progress has been set to the last valid state.","Sistemimiz, can doldurma mekaniğinde anormal bir durum tespit etti.<br><br>İlerlemen, son geçerli duruma geri getirildi.","Unser System hat etwas Ungewöhnliches in deinem Leben-Auffüllmechanismus entdeckt.<br><br>Dein Fortschritt wurde auf den letzten gültigen Stand gesetzt.","Notre système a détecté quelque chose d'anormal dans votre mécanisme de recharge de vie.<br><br>Votre progression a été rétablie au dernier niveau valide.","Il nostro sistema ha rilevato un'anomalia nel tuo meccanismo di ricarica delle vite.<br><br>I tuoi progressi sono stati impostati all'ultimo stato valido.","Nuestro sistema ha detectado algo raro al rellenarse tus vidas.<br><br>Se ha restablecido tu progreso hasta el último estado válido.","Detectamos uma anomalia no mecanismo de recarga de vidas.<br><br>Seu progresso foi revertido para o último estado válido.","ライフ補充システムにおいて異常なものをシステムが検出しました。<br><br>最後の有効な状態へと進行は戻されました。","저희 시스템이 귀하의 생명 충전 메커니즘에서 비정상적인 활동을 감지했습니다.<br><br>귀하의 진행 상황이 가장 최근 유효한 상태로 설정되었습니다."
progress_reset_to_valid_state,Text,,"Your progress has been set to the last valid state.","İlerlemen, son geçerli duruma geri getirildi.","Dein Fortschritt wurde auf den letzten gültigen Stand gesetzt.","Votre progression a été rétablie au dernier niveau valide.","I tuoi progressi sono stati impostati all'ultimo stato valido.","Se ha restablecido tu progreso hasta el último estado válido.","Seu progresso foi revertido para o último estado válido.","最後の有効な状態へと進行は戻されました。","귀하의 진행 상황이 가장 최근 유효한 상태로 설정되었습니다."
request,Text,,"Request","İstek","Anfrage","Demande","Richiedi","Pedir","Pedir","リクエスト","요청"
no,Text,,"No","Hayır","Nein","Non","No","No","Não","いいえ","아니요"
tap_to_collect,Text,,"Tap to Collect","Toplamak için dokun","Zum Sammeln antippen","Appuyez pour récupérer","Tocca per ritirare","Toca para recoger","Toque para coletar","タップで収集","탭하여 수집하기"
team_goal,Text,,"Team Goal","Takım Hedefi","Teamziel","Objectif d'équipe","Obiettivo di squadra","Objetivo de equipo","Meta da equipe","チーム目標","팀 목표"
checkpoint_progress_reset_warning,Text,,"Every fail resets<br>checkpoint progress!","Her başarısızlık, kontrol<br>noktası ilerlemeni sıfırlar!","Jeder Fehler setzt den<br>Checkpoint-Fortschritt zurück!","Chaque échec réinitialise<br>la progression du point de sauvegarde !","Ogni volta che perdi, i progressi<br>nei traguardi si azzerano!","¡Cada fallo restablece<br>el punto de control!","Cada fracasso zera<br>o progresso!","失敗するたびにチェックポイントの<br>進行がリセットされます！","실패할 때마다<br>체크포인트 진행 상황이<br>리셋됩니다!"
terms_of_service_update_label,Text,,"Terms of Service Update","Hizmet Şartları Güncellemesi","Aktualisierung der Nutzungsbedingungen","Mise à jour des conditions d'utilisation","Aggiornamento dei Termini di servizio","Actualización de las Condiciones del servicio","Atualização dos Termos de Serviço","利用規約の更新","서비스 약관 업데이트"
chiefs_tool,Text,,"Chief's Tool","Şefin Aracı","Meisterwerkzeug","Caisse à outils","Attrezzo del capo","Caja de herramientas","Ferramenta de Chefe","チーフのツール","치프의 도구"
title,Text,,"Title","Başlık","Titel","Titre","Titolo","Título","Título","タイトル","제목"
chat_with_players_option,Text,,"Chat with players","Oyuncularla sohbet et","Chatte mit Spielern","Discuter avec des joueurs","Chatta con i giocatori","Chat con otros jugadores","Converse com jogadores","プレイヤーとチャット","다른 플레이어와 채팅하기"
start,Text,,"Start","Başla","Start","Jouer","Inizia","Empezar","Iniciar","スタート","시작하기"
jetpack_ride,Text,,"Jetpack Ride","Jetpack Gezintisi","Jetpackfahrt","Voyage en Jet pack","Giro in Jetpack","A toda mecha","Passeio de Jetpack","ジェットパックライド","제트팩 비행"
rewards,Text,,"Rewards","Ödüller","Belohnungen","Récompenses","Ricompense","Recompensas","Recompensas","報酬","보상"
lives_bank,Text,,"Lives Bank","Can Bankası","Lebensbank","Banque de vies","Banca delle vite","Banco de vidas","Banco de vidas","ライフのバンク","생명 은행"
now,Text,,"now","hemen","jetzt","maintenant","ora","ahora","agora","今","지금"
bottom,Text,,"Bottom","Alt","Unten","Bas","Fondo","Abajo","Baixo","最下位","최하위"
signout_prompt,Text,,"Do you really want to<br>sign out?","Çıkış yapmak<br>istediğine emin misin?","Willst du dich<br>wirklich abmelden?","Voulez-vous vraiment vous<br>déconnecter ?","Vuoi davvero<br>uscire?","¿Seguro que quieres<br>cerrar sesión?","Tem certeza de que quer<br>sair?","本当に<br>サインアウトしますか？","정말로 로그아웃<br>하시겠습니까?"
higher_rank_better_rewards,Text,,"Higher rank means<br>better rewards!","Sıralaman yükseldikçe<br>daha iyi ödüller alırsın!","Ein höherer Rang<br>bedeutet bessere Belohnungen!","Un meilleur classement donne<br>de meilleures récompenses !","I gradi più alti conferiscono<br>ricompense migliori!","A mejor puesto,<br>¡mejores recompensas!","Quanto mais alta a classificação,<br>melhores as recompensas!","ランクが高いほど<br>報酬も良くなります！","순위가 높을수록<br>더 좋은 보상을 받습니다!"
collect_balls_instruction,Text,,"Collect Balls<br>from levels!","Seviyelerden<br>Top topla!","Sammle Bälle<br>in den Levels!","Récupérez des balles<br>dans les niveaux !","Raccogli le palle<br>dai livelli!","¡Recoge bolas<br>en los niveles!","Colete bolas<br>dos níveis!","レベルから<br>ボールを集めましょう！","레벨을 공략하면서<br>공을 수집하세요!"
daily_bonus,Text,,"Daily Bonus","Günlük Bonus","Tagesbonus","Bonus Quotidien","Bonus Giornaliero","Bonus Diario","Bônus Diário","デイリーボーナス","일일 보너스"
collect_keys_prompt,Text,,"Collect Keys!","Anahtar Topla!","Sammle Schlüssel!","Récupérez des clefs !","Raccogli le chiavi!","¡Recoge llaves!","Colete chaves!","キーを<br>集めましょう！","열쇠를 수집하세요!"
super_hard,Text,,"Super Hard","Süper Zor","Super Schwer","Super Difficile","Super Difficile","Súper Difícil","Super Difícil","超難しい","초어려운"
account_deletion_return_option,Text,,"If you return to the game before your account is deleted, you can cancel the deletion process and restore your account.","Hesabın silinmeden oyuna dönersen silme işlemini iptal edip hesabını kurtarabilirsin.","Wenn du zum Spiel zurückkehrst, bevor dein Konto gelöscht wird, kannst du den Löschvorgang abbrechen und dein Konto wiederherstellen.","Si vous retournez sur le jeu avant que votre compte ne soit supprimé, il est possible d'annuler la suppression et de restaurer votre compte.","Se torni al gioco prima che il tuo account venga cancellato, puoi annullare il processo di cancellazione e ripristinare l'account.","Si vuelves al juego antes de que se elimine la cuenta, podrás cancelar el proceso de eliminación y restaurarla.","Se você voltar ao jogo antes que a conta seja apagada, poderá cancelar o processo de exclusão e restaurá-la.","アカウントの削除前にゲームに戻ると、削除プロセスがキャンセルされ、アカウントが復旧されます。","귀하의 계정이 삭제되기 전에 게임에 다시<br>로그인하면 삭제 과정을 취소하고 계정을<br>복구할 수 있습니다."
time_is_up_warning,Text,,"Time Is Up!","Süre Doldu!","Die Zeit<br>ist um!","Le temps<br>est écoulé.","Tempo<br>scaduto!","¡Tiempo!","O tempo<br>acabou!","時間切れ！","시간이 다<br>됐습니다!"
uncover_stickers_prompt,Text,,"Uncover Stickers!","Çıkartmaları Aç!","Decke Aufkleber auf!","Dévoilez les stickers !","Stacca gli adesivi!","¡Despega pegatinas!","Descubra as figurinhas!","ステッカーを<br>見つけましょう！","스티커를 벗기세요!"
win_level_helmet_rush,Text,,"Win a level to join Helmet Rush<br>and compete for amazing rewards","Kask Heyecanına katılmak için bir seviyeyi<br>geç ve muhteşem ödüller için yarış","Gewinne ein Level, um bei „Helmrausch“ mitzumachen<br>und tolle Belohnungen zu erhalten.","Remportez un niveau pour rejoindre l'événement Casques dorés<br>et jouez pour gagner de superbes récompenses","Supera un livello per unirti a Corsa del casco<br>e competere per incredibili ricompense","Supera un nivel y compite en A cascoporro.<br>¡Gana increíbles recompensas!","Complete um nível para participar da Corrida do Capacete<br>e concorrer a recompensas fantásticas","レベルをクリアしてヘルメットラッシュに参加し<br>豪華報酬のために競いましょう","안전모 러시에 참가하여 놀라운 보상을 놓고 경쟁하려면<br>레벨을 공략하세요"
take_lead_become_legend,Text,,"Take the lead and<br>become a legend","Liderliğe yüksel<br>ve efsane ol","Übernimm die Führung<br>und werde eine Legende!","Arrivez en premier<br>et devenez une légende","Prendi il comando e<br>diventa una leggenda","¡Lidera<br>y conviértete en leyenda!","Assuma a liderança e<br>vire uma lenda","最上位に残り<br>伝説になろう","선두를 유지하여<br>전설이 되세요"
try_again,Text,,"Try Again","Tekrar Dene","Erneut versuchen","Réessayer","Riprova","Reintentar","Tente de novo","もう一度","다시 시도"
create,Text,,"Create","Oluştur","Erstellen","Créer","Crea","Crear","Criar","作成","생성"
join_team,Text,,"Join a Team","Bir Takıma katıl","Team beitreten","Rejoindre une équipe","Unisciti a una squadra","Únete a un equipo","Entre em uma equipe","チームに参加","팀 가입"
team_name,Text,,"Team Name","Takım Adı","Teamname","Nom de l'équipe","Nome della squadra","Nombre de equipo","Nome da equipe","チーム名","팀 이름"
signin,Text,,"Sign In","Giriş Yap","Anmelden","Se connecter","Accedi","Iniciar sesión","Entrar","サインイン","로그인"
terms_of_service,Text,,"Terms of Service","Hizmet Şartları","Nutzungsbedingungen","Conditions d'utilisation","Termini di servizio","Condiciones del servicio","Termos de Serviço","利用規約","서비스 약관"
quit_game_confirmation,Text,,"Do you really want to<br>quit game?","Oyundan çıkmak istediğine<br>emin misin?","Willst du das Spiel<br>wirklich beenden?","Voulez-vous vraiment<br>quitter le jeu ?","Vuoi davvero<br>uscire dal gioco?","¿Seguro que quieres<br>salir del juego?","Tem certeza de que quer<br>sair do jogo?","本当にゲームを<br>終了しますか？","정말로 게임을<br>종료하시겠습니까?"
tap_to_continue_short,Text,,"Tap to continue","Devam etmek için dokun","Zum Fortfahren tippen","Appuyez pour continuer","Tocca per continuare","Toca para continuar","Toque para continuar","タップで続ける","탭하여 계속하기"
success_message,Text,,"Success!","Başarılı!","Geschafft!","Succès !","Fatto!","¡Éxito!","Sucesso!","成功！","성공!"
reach_goals_with_team,Text,,"Reach Goals with<br>Your Team!","Takımınla<br>Hedeflere ulaş!","Erreiche Ziele<br>mit deinem Team!","Atteignez les objectifs<br>avec votre équipe !","Raggiungi gli obiettivi<br>con la tua squadra!","¡Cumple objetivos<br>con tu equipo!","Complete as metas<br>com sua equipe!","チームと共に<br>目標を達成しましょう！","팀과 함께<br>목표에 도달하세요!"
game_close_immediate_notice,Text,,"The game will be closed right now!","Oyun şimdi kapanacak!","Das Spiel wird jetzt beendet!","Le jeu va maintenant se fermer.","La partita verrà subito chiusa!","¡El juego se cerrará ahora!","O jogo será encerrado imediatamente!","すぐにゲームが終了されます！","곧 게임이 닫힙니다!"
take_lead_next_time,Text,,"Take the lead<br>next time!","Bir dahaki sefere<br>birinci ol!","Übernimm nächstes<br>Mal die Führung!","Prenez l'avantage<br>la prochaine fois !","Prendi il comando<br>la prossima volta!","¡Lidera<br>la próxima vez!","Assuma a liderança<br>na próxima vez!","次回は一位を<br>目指しましょう！","다음에는<br>선두를 차지하세요!"
score_label,Text,,"Score","Skor","Punktzahl","Score","Punteggio","Puntos","Pontuação","スコア","점수"
buy,Text,,"Buy","Satın Al","Kaufen","Acheter","Compra","Comprar","Comprar","購入","구매"
revert_account_deletion_info,Text,,"Tap <color="green"><material="AguBlack_Blue">"Cancel & Play"</material></color> to cancel your account deletion request and continue playing!","Hesap silme talebini iptal edip oynamaya devam etmek için <color="green"><material="AguBlack_Blue">"İptal Et ve Oyna"</material></color>ya dokun!","Tippe auf <color="green"><material="AguBlack_Blue">„Abbrechen & spielen“</material></color>, um deinen Antrag auf Kontolöschung zu stornieren und weiterzuspielen!","Appuyez sur <color="green"><material="AguBlack_Blue">« Annuler et jouer »</material></color> pour annuler la demande de suppression de compte et continuer à jouer.","Tocca "<color="green"><material="AguBlack_Blue">Annulla e gioca</material></color>" per annullare la richiesta di cancellazione dell'account e continuare a giocare!","Toca <color="green"><material="AguBlack_Blue">Cancelar y jugar</material></color> para cancelar el proceso de eliminación de cuenta y seguir jugando.","Toque em <color="green"><material="AguBlack_Blue">"Cancelar e jogar"</material></color> para cancelar o pedido de exclusão da sua conta e continuar jogando!","<color="green"><material="AguBlack_Blue">「キャンセルしてプレイ」</material></color> をタップして、アカウントの削除リクエストをキャンセルし、ゲームを続けられます！","<color="green"><material="AguBlack_Blue">"취소 및 게임하기"</material></color>를 탭하여 귀하의 계정 삭제 요청을 취소하고 게임을 계속하세요!"
excellent,Text,,"Excellent","Muhteşem","Ausgezeichnet","Excellent","Eccellente","Excelente","Excelente","すごい！","훌륭해요"
